experiment_name,model,seed,lr,input_seq_len,num_kv_pairs,vocab_size,min_query_pos,params,best_val_answer_loss,best_val_answer_accuracy,test_loss_ckpt_answer_accuracy,test_acc_ckpt_answer_accuracy,test_loss_ckpt_exact_match,test_acc_ckpt_exact_match,primary_acc,primary_em,regime,group,model_short,setting_key,parsed_name_ok
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr1e4_seed42,Mamba2 depth=4,42,0.0001,128,16,512,,1931712,0.08199238,0.98553125,0.98590625,0.98590625,0.79650000,0.79650000,0.98590625,0.79650000,interesting,,,,0
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr1e4_seed43,Mamba2 depth=4,43,0.0001,128,16,512,,1931712,0.11892476,0.97431250,0.97525000,0.97525000,0.67250000,0.67250000,0.97525000,0.67250000,interesting,,,,0
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr3e4_seed42,Mamba2 depth=4,42,0.0003,128,16,512,,1931712,0.00541043,0.99912500,0.99925000,0.99900000,0.98950000,0.98500000,0.99900000,0.98500000,too_easy,,,,0
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr3e4_seed43,Mamba2 depth=4,43,0.0003,128,16,512,,1931712,0.01123286,0.99737500,0.99775000,0.99721875,0.96500000,0.95700000,0.99721875,0.95700000,too_easy,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr1e4_seed42,Mamba2 depth=6,42,0.0001,128,16,512,,2765984,0.53769100,0.83850000,0.83512500,0.83512500,0.05750000,0.05750000,0.83512500,0.05750000,interesting,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr1e4_seed43,Mamba2 depth=6,43,0.0001,128,16,512,,2765984,2.17820772,0.48184375,0.48675000,0.48675000,0.00000000,0.00000000,0.48675000,0.00000000,interesting,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr3e4_seed42,Mamba2 depth=6,42,0.0003,128,16,512,,2765984,0.00767420,0.99781250,0.99787500,0.99784375,0.96600000,0.96550000,0.99784375,0.96550000,too_easy,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr3e4_seed43,Mamba2 depth=6,43,0.0003,128,16,512,,2765984,0.00976957,0.99743750,0.99775000,0.99775000,0.96450000,0.96450000,0.99775000,0.96450000,too_easy,,,,0
mqar_bugcheck_ms_attention_stride4_kv16_vocab512_lr1e4_seed42,MS-attention stride=4,42,0.0001,128,16,512,,3030176,0.08424184,0.98550000,0.98518750,0.98518750,0.78350000,0.78350000,0.98518750,0.78350000,interesting,,,,0
mqar_bugcheck_ms_attention_stride4_kv16_vocab512_lr1e4_seed43,MS-attention stride=4,43,0.0001,128,16,512,,3030176,5.56317323,0.00803125,0.00362500,0.00753125,0.00000000,0.00000000,0.00753125,0.00000000,too_hard,,,,0
